manufacturer,model,version,power(kW),fuel_date,odometer,trip_distance(km),quantity(kWh),fuel_type,tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,fuel_note
Mitsubishi,i-MiEV,i-MiEV,49,09.11.2017,146951,49.6,6.54,Electricity,Summer tires,1,0,1,Normal,13.19,0,0,,-1.8100000000000005,"Noch 7 Balken, 50km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 5,9°C, RRW 111km, Batterie 12-16°C, 13,9°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,08.11.2017,146901,49.0,6.55,Electricity,Summer tires,1,0,1,Normal,13.37,0,0,,-1.6300000000000008,"Noch 7 Balken, 45km Reichweite, Mainova Ökostrom Novanatur, 3,75h geladen, Ladeende 8,1°C, RRW 103km, Batterie 13-17°C, 14,5°C, 100%, Nieselregen, nasse Straße"
Mitsubishi,i-MiEV,i-MiEV,49,07.11.2017,146852,49.1,6.2,Electricity,Summer tires,1,0,1,Normal,12.63,0,0,,-2.369999999999999,"Noch 8 Balken, 51km Reichweite, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 7,8°C, RRW 109km, Batterie 12-15°C, 13,4°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,07.11.2017,146803,55.2,8.2,Electricity,Summer tires,1,0,1,Normal,14.86,0,1,,-0.14000000000000057,"Noch 5B, 28km Reichweite, Batterie 9-12°C, 10,7°C, 35,5%, Solarstrom P&amp;C, 4h geladen, Ladeende 2,1°C, RRW 99km, Batterie 10-16°C, 12,9°C, 100%, 24.2. 26. 27. 28.2. 1.3. 2.3. 20.5. 22. 23. 28. 30.5. 6.9. 17. 18. 20.9. 2.10. 9.10. 16.10. 6.11."
Mitsubishi,i-MiEV,i-MiEV,49,04.11.2017,146747,39.4,8.45,Electricity,Summer tires,1,1,1,Normal,11.16,0,0,,-3.84,"Noch 4 Balken, 30km Reichweite, Batterie 18-23°C, 20,6°C, 34,0%, Mainova Ökostrom Novanatur, 2,5h geladen (0,20kWh), Abbruch), 4,75h geladen (8,25kWh), Ladeende 6,1°C, RRW 109km, Batterie 16-22°C, 18,8°C, 100%, Autobahn 80km/h"
Mitsubishi,i-MiEV,i-MiEV,49,04.11.2017,146708,66.8,3.4,Electricity,Summer tires,1,1,1,Normal,11.16,0,0,,-3.84,"Noch 5 Balken, 32km Reichweite, Batterie 15-18°C, 16,1°C, 37,0%, Ökostrom, 15m47s geladen, Ladeende 15,0°C RRW 69km, Batterie 18-21°C, 19,4°C, 68,0%, 11B, Autobahn 80km/h"
Mitsubishi,i-MiEV,i-MiEV,49,03.11.2017,146641,51.4,6.53,Electricity,Summer tires,1,0,1,Normal,12.7,0,0,,-2.3000000000000007,"Noch 7 Balken, 48km Reichweite, Mainova Ökostrom Novanatur, 4h geladen, Ladeende 5,0°C, RRW 109km, Batterie 12-17°C, 14,5°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,03.11.2017,146590,50.3,6.57,Electricity,Summer tires,1,0,1,Normal,13.06,0,0,,-1.9399999999999995,"Noch 7 Balken, 47km Reichweite, Mainova Ökostrom Novanatur, 5,5h geladen, Ladeende 5,9°C, RRW 106km, Batterie 14-18°C, 15,6°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,02.11.2017,146539,49.8,6.55,Electricity,Summer tires,1,0,1,Normal,13.15,0,0,,-1.8499999999999996,"Noch 7 Balken, 48km Reichweite, Mainova Ökostrom Novanatur, 5h geladen, Ladeende 6,4°C, RRW 108km, Batterie 12-16°C, 14,2°C, 100%"
Mitsubishi,i-MiEV,i-MiEV,49,28.10.2017,146490,29.0,7.9,Electricity,Summer tires,1,1,1,Normal,12.17,0,0,,-2.83,"Noch 4 Balken, 36km Reichweite, Batterie 18-23°C, 21,2°C, 38,5%, Mainova Ökostrom Novanatur, 4,75h geladen, Ladeende 11,3°C, RRW 111km, Batterie 17-23°C, 20,4°C, 100%"
