trip_distance(km),quantity(kWh),city,motor_way,country_roads,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation,encoded_driving_style,encoded_tire_type
75.0,9.82,0,0,1,13.1,0,0,41.0,-3.7,1.0,0
32.0,9.78,0,1,0,11.4,0,0,65.0,-5.4,1.0,0
118.0,3.41,0,1,0,12.1,0,0,67.0,-4.7,1.0,0
95.0,13.76,0,0,1,12.2,0,0,59.0,-4.6,1.0,0
63.0,13.76,0,1,0,14.5,0,0,96.0,-2.3,0.0,0
99.0,9.7,0,1,0,13.1,0,0,78.0,-3.7,0.0,0
37.0,9.2,0,1,0,13.6,0,0,56.0,-3.2,1.0,0
71.0,7.62,0,1,0,11.8,0,0,77.0,-5.0,1.0,0
101.0,14.51,0,1,0,13.0,0,0,69.0,-3.8,1.0,0
72.0,13.99,0,1,0,12.0,0,0,69.0,-4.8,1.0,0
100.0,11.35,0,1,0,13.3,0,0,70.0,-3.5,1.0,0
72.0,9.9,0,1,0,13.1,0,0,67.0,-3.7,1.0,0
92.0,10.42,0,1,0,14.0,0,1,50.0,-2.8,1.0,0
87.0,10.87,0,1,0,12.7,0,0,62.0,-4.1,0.0,0
74.0,12.09,0,1,0,13.5,0,0,80.0,-3.3,0.0,0
18.0,12.83,0,1,0,12.6,0,0,68.0,-4.2,0.0,0
68.0,0.56,0,1,1,13.3,0,0,69.0,-3.5,0.0,0
99.0,8.97,0,1,0,13.1,0,0,76.0,-3.7,0.0,0
24.0,6.5,0,1,0,11.0,0,0,32.0,-5.8,1.0,0
86.0,10.97,0,1,0,12.3,0,0,73.0,-4.5,1.0,0
16.0,1.12,0,1,0,11.9,0,0,59.0,-4.9,1.0,0
72.0,13.22,0,1,0,12.1,0,0,75.0,-4.7,1.0,0
101.0,10.97,0,1,0,12.3,0,0,57.0,-4.5,1.0,0
71.0,11.96,0,1,0,12.2,0,0,80.0,-4.6,0.0,0
117.0,10.42,0,1,1,12.2,0,0,70.0,-4.6,1.0,0
57.0,13.58,0,1,1,12.3,0,0,58.0,-4.5,1.0,0
71.0,7.36,0,1,0,13.1,0,0,80.0,-3.7,0.0,0
73.0,10.42,0,1,0,13.2,0,1,63.0,-3.6,1.0,0
87.0,6.31,0,1,1,13.1,0,1,58.0,-3.7,1.0,0
72.0,10.01,0,0,1,13.9,0,0,55.0,-2.9,1.0,0
3.0,0.37,1,0,0,12.5,0,1,15.0,-4.3,1.0,0
17.0,7.1,0,1,0,18.1,0,1,61.0,1.3,2.0,0
108.0,3.82,0,1,0,11.8,0,0,61.0,-5.0,1.0,0
103.0,14.9,0,1,0,12.8,0,1,69.0,-4.0,1.0,0
71.0,10.8,0,1,0,13.9,0,1,79.0,-2.9,0.0,0
71.0,10.6,0,1,0,14.6,0,1,69.0,-2.2,0.0,0
18.0,13.28,0,1,0,12.9,0,1,56.0,-3.9,1.0,0
97.0,2.23,0,0,1,13.3,0,0,53.0,-3.5,1.0,0
72.0,14.71,0,1,0,13.0,0,0,77.0,-3.8,1.0,0
100.0,10.79,0,1,0,12.5,0,1,67.0,-4.3,1.0,0
71.0,10.51,0,1,0,11.2,0,0,75.0,-5.6,1.0,0
72.0,9.86,0,1,0,13.2,0,0,57.0,-3.6,0.0,0
84.0,6.18,1,1,1,13.1,0,0,54.0,-3.7,0.0,0
89.0,14.02,1,1,0,13.6,0,0,57.0,-3.2,0.0,0
81.0,9.67,0,1,1,14.3,0,0,48.0,-2.5,2.0,0
20.0,7.63,0,1,0,15.9,0,0,52.0,-0.9,0.0,0
74.0,12.55,0,1,0,14.4,0,0,57.0,-2.4,1.0,0
19.0,5.39,1,1,0,11.0,0,0,46.0,-5.8,1.0,0
104.0,8.1,0,1,0,11.8,0,0,61.0,-5.0,1.0,0
72.0,13.11,0,1,0,13.7,0,0,82.0,-3.1,0.0,0
105.0,10.97,0,1,0,11.8,0,0,68.0,-5.0,1.0,0
71.0,11.39,0,1,0,13.5,0,0,82.0,-3.3,1.0,0
101.0,11.35,0,1,0,11.7,0,0,74.0,-5.1,1.0,0
71.0,12.98,0,1,0,14.4,0,0,80.0,-2.4,0.0,0
72.0,10.04,0,1,0,12.6,0,0,71.0,-4.2,0.0,0
38.0,8.7,0,1,0,12.9,0,0,52.0,-3.9,0.0,0
76.0,6.7,0,1,0,11.6,0,0,66.0,-5.2,0.0,0
71.0,8.0,0,1,0,12.0,0,0,70.0,-4.8,0.0,0
92.0,7.45,0,1,0,13.5,0,0,56.0,-3.3,2.0,0
17.0,15.03,0,1,0,18.1,0,0,67.0,1.3,2.0,0
68.0,2.22,1,1,0,16.0,0,0,94.0,-0.8,0.0,0
112.0,10.6,1,1,0,12.4,0,0,60.0,-4.4,0.0,0
78.0,13.73,1,1,0,17.6,0,0,76.0,0.8,2.0,0
18.0,10.18,1,0,0,12.5,0,0,35.0,-4.3,1.0,0
104.0,10.42,0,1,0,13.1,0,0,70.0,-3.7,1.0,0
71.0,13.92,0,1,0,13.3,0,0,69.0,-3.5,1.0,0
102.0,11.35,0,1,0,13.1,0,0,67.0,-3.7,1.0,0
78.0,11.73,0,1,0,12.2,0,0,76.0,-4.6,0.0,0
102.0,11.72,0,1,0,12.5,0,0,69.0,-4.3,1.0,0
71.0,13.77,0,1,0,14.6,0,0,81.0,-2.2,2.0,0
85.0,9.86,0,1,0,11.7,0,0,69.0,-5.1,1.0,0
17.0,0.93,0,1,0,14.4,0,0,56.0,-2.4,1.0,0
71.0,10.22,0,1,0,12.7,0,0,79.0,-4.1,1.0,0
24.0,9.67,0,1,0,12.8,0,0,44.0,-4.0,1.0,0
65.0,5.39,0,1,0,13.8,0,0,65.0,-3.0,1.0,0
35.0,1.12,0,1,0,12.1,0,0,51.0,-4.7,0.0,0
68.0,10.79,0,1,0,12.4,0,0,51.0,-4.4,0.0,0
107.0,10.88,0,1,0,12.1,0,0,73.0,-4.7,0.0,0
6.0,6.14,0,1,0,10.7,0,0,42.0,-6.1,0.0,0
98.0,7.63,0,1,0,12.7,0,0,53.0,-4.1,0.0,0
110.0,13.16,0,1,1,13.9,0,0,85.0,-2.9,0.0,0
85.0,12.53,1,1,0,13.9,0,0,52.0,-2.9,0.0,0
115.0,16.2,0,1,1,12.3,0,0,44.0,-4.5,1.0,0
22.0,2.69,0,0,1,11.1,0,0,41.0,-5.7,1.0,0
25.0,13.97,0,0,1,15.2,0,0,41.0,-1.6,0.0,0
97.0,4.08,0,1,0,13.8,0,0,74.0,-3.0,1.0,0
114.0,13.5,0,1,1,12.6,0,0,73.0,-4.2,1.0,0
17.0,6.14,0,1,0,14.4,0,0,55.0,-2.4,1.0,0
71.0,10.31,0,1,0,11.5,0,0,74.0,-5.3,1.0,0
101.0,11.72,0,1,0,12.0,0,0,74.0,-4.8,1.0,0
75.0,12.15,0,1,0,13.5,0,0,65.0,-3.3,1.0,0
25.0,9.86,0,1,0,12.9,0,0,65.0,-3.9,1.0,0
77.0,4.09,0,1,0,13.4,0,0,74.0,-3.4,1.0,0
72.0,12.12,0,1,0,11.7,0,0,67.0,-5.1,1.0,0
118.0,10.23,0,1,1,11.7,0,0,71.0,-5.1,1.0,0
66.0,10.04,0,0,1,13.1,0,0,45.0,-3.7,1.0,0
80.0,12.96,0,1,0,11.8,0,0,55.0,-5.0,1.0,0
106.0,10.6,0,1,0,12.3,0,0,66.0,-4.5,1.0,0
86.0,11.44,0,1,0,10.7,0,0,54.0,-6.1,1.0,0
3.0,5.21,0,1,0,12.3,0,0,24.0,-4.5,1.0,0
100.0,7.06,0,1,0,12.1,0,0,81.0,-4.7,1.0,0
71.0,9.99,0,1,0,10.6,0,0,73.0,-6.2,1.0,0
100.0,11.16,0,1,0,12.1,0,0,76.0,-4.7,1.0,0
72.0,12.58,0,1,0,10.9,0,0,76.0,-5.9,1.0,0
91.0,8.93,0,1,0,12.5,0,0,69.0,-4.3,0.0,0
20.0,8.93,0,1,0,16.1,0,0,62.0,-0.7,1.0,0
66.0,7.81,0,1,1,12.0,0,0,54.0,-4.8,1.0,0
47.0,0.74,1,1,1,12.2,0,0,64.0,-4.6,1.0,0
18.0,7.22,0,1,0,12.2,0,0,57.0,-4.6,1.0,0
26.0,0.93,0,1,0,14.6,0,0,39.0,-2.2,0.0,0
75.0,9.73,0,1,0,11.4,0,0,74.0,-5.4,1.0,0
114.0,10.97,0,1,0,11.8,0,0,58.0,-5.0,1.0,0
74.0,11.22,0,1,0,11.5,0,0,74.0,-5.3,1.0,0
101.0,11.9,0,1,0,11.7,0,0,73.0,-5.1,1.0,0
72.0,10.41,0,1,0,11.1,0,0,75.0,-5.7,0.0,0
100.0,11.16,0,1,0,12.0,0,0,73.0,-4.8,0.0,0
72.0,9.69,0,1,0,10.3,0,0,75.0,-6.5,0.0,0
71.0,9.49,0,1,0,12.5,0,0,79.0,-4.3,0.0,0
106.0,10.19,0,1,0,11.3,0,0,71.0,-5.5,1.0,0
88.0,11.35,0,1,0,11.8,0,0,68.0,-5.0,1.0,0
17.0,0.93,0,1,0,10.9,1,0,30.0,-5.9,1.0,0
79.0,13.02,0,1,0,14.2,1,0,44.0,-2.6,0.0,0
71.0,11.15,0,1,0,12.8,1,0,67.0,-4.0,1.0,0
86.0,11.53,0,1,0,11.7,0,0,74.0,-5.1,1.0,0
16.0,0.56,0,1,0,13.0,0,0,57.0,-3.8,1.0,0
74.0,4.93,0,1,0,11.5,0,0,69.0,-5.3,1.0,0
88.0,10.47,0,1,0,11.9,0,0,66.0,-4.9,1.0,0
2.0,0.23,0,1,0,11.5,0,0,20.0,-5.3,0.0,0
89.0,14.56,0,1,0,12.3,0,0,62.0,-4.5,0.0,0
71.0,10.97,0,1,0,13.8,0,0,83.0,-3.0,0.0,0
86.0,7.0,0,1,1,13.7,0,0,71.0,-3.1,0.0,0
121.0,15.85,0,1,0,13.1,0,0,61.0,-3.7,0.0,0
5.0,4.9,1,0,0,16.1,0,0,28.0,-0.7,2.0,0
96.0,7.07,0,1,0,12.1,0,0,82.0,-4.7,1.0,0
71.0,11.1,0,1,0,11.8,0,0,73.0,-5.0,1.0,0
103.0,12.83,0,1,0,12.0,0,0,74.0,-4.8,1.0,0
71.0,7.16,0,1,0,11.3,0,0,72.0,-5.5,1.0,0
86.0,11.34,0,1,0,11.0,0,0,74.0,-5.8,1.0,0
16.0,0.37,0,1,0,12.1,0,0,57.0,-4.7,1.0,0
74.0,9.01,0,1,0,11.4,1,0,69.0,-5.4,1.0,0
117.0,11.16,0,1,1,11.8,0,0,63.0,-5.0,1.0,0
102.0,14.82,1,0,1,12.3,0,0,50.0,-4.5,1.0,0
37.0,1.9,0,0,1,11.3,0,0,49.0,-5.5,1.0,0
115.0,12.08,0,1,0,12.9,0,0,58.0,-3.9,1.0,0
85.0,11.9,0,1,0,11.8,0,0,78.0,-5.0,1.0,0
86.0,11.53,0,1,0,12.2,0,0,65.0,-4.6,1.0,0
85.0,11.16,0,1,0,11.5,0,0,75.0,-5.3,1.0,0
86.0,13.02,0,1,0,13.1,0,0,64.0,-3.7,1.0,0
86.0,11.53,0,1,0,13.0,0,0,67.0,-3.8,1.0,0
97.0,10.42,1,1,0,14.5,0,0,54.0,-2.3,0.0,0
86.0,12.4,0,1,0,12.9,0,0,72.0,-3.9,1.0,0
86.0,10.04,0,1,0,13.2,0,0,76.0,-3.6,1.0,0
87.0,11.44,0,1,0,11.8,0,0,66.0,-5.0,1.0,0
40.0,15.07,0,1,0,12.3,0,0,52.0,-4.5,1.0,0
92.0,0.74,0,1,0,11.9,0,0,64.0,-4.9,1.0,0
87.0,14.69,0,1,0,11.9,0,0,76.0,-4.9,1.0,0
89.0,4.84,0,1,0,11.7,0,0,62.0,-5.1,1.0,0
86.0,11.67,0,1,0,12.0,0,0,76.0,-4.8,1.0,0
86.0,11.35,0,1,0,13.7,0,0,74.0,-3.1,2.0,0
86.0,14.51,0,1,0,11.2,0,0,73.0,-5.6,1.0,0
115.0,8.0,0,1,0,12.0,0,0,69.0,-4.8,1.0,0
86.0,12.84,0,1,0,11.2,0,0,73.0,-5.6,1.0,0
87.0,7.26,0,1,0,12.3,0,0,75.0,-4.5,1.0,0
87.0,14.4,0,1,0,12.8,0,0,68.0,-4.0,1.0,0
86.0,10.67,0,0,1,12.2,0,0,49.0,-4.6,1.0,0
78.0,9.35,0,0,1,12.8,0,0,54.0,-4.0,1.0,0
113.0,12.49,0,1,1,12.3,0,0,67.0,-4.5,1.0,0
106.0,13.7,0,1,1,12.4,0,0,79.0,-4.4,1.0,0
118.0,13.85,0,1,1,13.3,0,0,71.0,-3.5,1.0,0
79.0,9.24,0,0,1,11.7,1,0,51.0,-5.1,1.0,0
29.0,3.42,0,0,1,11.8,0,0,42.0,-5.0,1.0,0
76.0,13.43,0,0,1,12.4,0,0,64.0,-4.4,1.0,0
1.0,5.4,1,0,0,8.0,0,0,17.0,-8.8,1.0,0
110.0,3.61,0,0,1,11.8,0,0,50.0,-5.0,1.0,0
103.0,12.46,0,0,1,12.1,0,0,55.0,-4.7,1.0,0
31.0,3.88,0,0,1,12.5,0,0,42.0,-4.3,1.0,0
97.0,13.48,0,0,1,13.9,0,0,63.0,-2.9,1.0,0
40.0,16.5,0,1,0,16.3,0,0,85.0,-0.5,0.0,0
77.0,3.87,0,1,0,14.2,0,0,65.0,-2.6,1.0,0
72.0,13.33,0,1,0,14.0,0,0,75.0,-2.8,1.0,0
83.0,6.51,0,1,1,13.3,0,0,71.0,-3.5,1.0,0
136.0,15.74,1,0,1,11.5,0,0,49.0,-5.3,1.0,0
89.0,16.74,0,1,0,13.5,0,0,59.0,-3.3,1.0,0
3.0,4.55,1,0,0,10.2,0,0,30.0,-6.6,1.0,0
88.0,1.67,0,1,0,12.2,0,0,62.0,-4.6,1.0,0
86.0,9.03,0,1,0,10.5,0,0,69.0,-6.3,1.0,0
87.0,13.78,1,1,0,12.6,0,0,80.0,-4.2,1.0,0
74.0,8.93,1,1,0,12.7,0,0,58.0,-4.1,1.0,0
28.0,0.96,1,1,0,11.7,0,0,51.0,-5.1,1.0,0
85.0,14.51,0,1,0,12.2,0,0,75.0,-4.6,1.0,0
88.0,5.77,0,1,0,11.3,0,0,73.0,-5.5,1.0,0
86.0,10.06,0,1,0,11.7,0,0,68.0,-5.1,1.0,0
77.0,12.72,0,0,1,12.8,0,0,77.0,-4.0,1.0,0
112.0,11.25,0,0,1,12.6,0,0,53.0,-4.2,1.0,0
2.0,5.59,0,1,0,9.8,0,0,21.0,-7.0,1.0,0
86.0,7.44,0,1,0,11.1,0,0,68.0,-5.7,1.0,0
86.0,10.04,0,1,0,12.1,0,0,64.0,-4.7,1.0,0
85.0,11.35,0,1,0,11.2,0,0,70.0,-5.6,1.0,0
89.0,9.3,0,1,0,12.7,0,0,72.0,-4.1,1.0,0
86.0,8.0,0,1,0,12.5,0,0,77.0,-4.3,1.0,0
89.0,12.59,0,1,0,12.3,0,0,77.0,-4.5,1.0,0
86.0,10.23,0,1,0,12.5,0,0,78.0,-4.3,1.0,0
85.0,12.28,0,1,0,11.7,0,0,72.0,-5.1,1.0,0
87.0,7.44,0,1,0,11.6,0,0,70.0,-5.2,1.0,0
85.0,12.09,0,1,0,11.5,0,0,76.0,-5.3,1.0,0
86.0,7.63,0,1,1,13.5,0,0,45.0,-3.3,1.0,0
46.0,5.8,1,1,0,12.6,0,0,39.0,-4.2,1.0,0
129.0,14.19,0,1,1,11.0,0,0,63.0,-5.8,1.0,0
86.0,10.41,0,1,0,12.1,0,0,71.0,-4.7,1.0,0
86.0,9.55,0,1,0,11.1,0,0,72.0,-5.7,1.0,0
86.0,10.66,0,1,0,12.4,0,0,55.0,-4.4,1.0,0
86.0,10.15,0,1,0,11.8,0,0,76.0,-5.0,1.0,0
85.0,13.82,0,1,0,11.7,0,0,67.0,-5.1,1.0,0
86.0,6.88,0,1,0,12.5,0,0,71.0,-4.3,1.0,0
87.0,10.27,0,1,0,11.8,0,0,66.0,-5.0,1.0,0
24.0,6.88,0,1,0,13.0,0,0,48.0,-3.8,1.0,0
23.0,1.0,0,1,0,13.5,1,0,42.0,-3.3,1.0,0
2.0,0.56,1,0,0,13.2,1,0,15.0,-3.6,1.0,0
86.0,10.23,0,1,0,12.4,1,0,61.0,-4.4,1.0,0
85.0,8.56,0,1,0,10.7,0,0,68.0,-6.1,1.0,0
129.0,16.66,0,1,0,11.8,1,0,61.0,-5.0,1.0,0
85.0,13.02,0,1,0,11.7,0,0,73.0,-5.1,1.0,0
17.0,8.18,0,1,0,12.7,0,0,61.0,-4.1,1.0,0
18.0,0.9,0,1,0,12.5,0,0,66.0,-4.3,1.0,0
86.0,2.98,0,1,0,12.8,0,0,73.0,-4.0,1.0,0
86.0,15.06,0,1,0,11.1,0,0,72.0,-5.7,1.0,0
88.0,6.14,0,1,0,11.8,0,0,72.0,-5.0,1.0,0
86.0,14.69,0,1,0,11.2,0,0,67.0,-5.6,1.0,0
85.0,3.91,0,1,0,11.6,0,0,74.0,-5.2,1.0,0
86.0,9.72,0,1,0,11.3,0,0,68.0,-5.5,1.0,0
85.0,11.72,0,0,1,13.1,0,0,60.0,-3.7,1.0,0
44.0,8.74,0,0,1,13.6,0,0,44.0,-3.2,1.0,0
86.0,8.56,0,1,0,14.8,0,0,57.0,-2.0,1.0,0
86.0,12.81,0,1,0,12.1,0,0,72.0,-4.7,1.0,0
86.0,8.0,0,1,0,12.1,0,0,61.0,-4.7,1.0,0
87.0,14.91,0,1,0,11.8,0,0,74.0,-5.0,1.0,0
