trip_distance(km),quantity(kWh),tire_type,city,motor_way,country_roads,driving_style,consumption(kWh/100km),A/C,park_heating,avg_speed(km/h),ecr_deviation
18.0,12.83,Summer tires,0,1,0,Normal,12.6,0,0,68.0,-4.2
68.0,0.56,Summer tires,0,1,1,Normal,13.3,0,0,69.0,-3.5
99.0,8.97,Summer tires,0,1,0,Normal,13.1,0,0,76.0,-3.7
24.0,6.5,Summer tires,0,1,0,Moderate,11.0,0,0,32.0,-5.8
86.0,10.97,Summer tires,0,1,0,Moderate,12.3,0,0,73.0,-4.5
16.0,1.12,Summer tires,0,1,0,Moderate,11.9,0,0,59.0,-4.9
72.0,13.22,Summer tires,0,1,0,Moderate,12.1,0,0,75.0,-4.7
101.0,10.97,Summer tires,0,1,0,Moderate,12.3,0,0,57.0,-4.5
71.0,11.96,Summer tires,0,1,0,Normal,12.2,0,0,80.0,-4.6
117.0,10.42,Summer tires,0,1,1,Moderate,12.2,0,0,70.0,-4.6
57.0,13.58,Summer tires,0,1,1,Moderate,12.3,0,0,58.0,-4.5
71.0,7.36,Summer tires,0,1,0,Normal,13.1,0,0,80.0,-3.7
73.0,10.42,Summer tires,0,1,0,Moderate,13.2,0,1,63.0,-3.6
87.0,6.31,Summer tires,0,1,1,Moderate,13.1,0,1,58.0,-3.7
72.0,10.01,Summer tires,0,0,1,Moderate,13.9,0,0,55.0,-2.9
3.0,0.37,Summer tires,1,0,0,Moderate,12.5,0,1,15.0,-4.3
17.0,7.1,Summer tires,0,1,0,Fast,18.1,0,1,61.0,1.3
108.0,3.82,Summer tires,0,1,0,Moderate,11.8,0,0,61.0,-5.0
103.0,14.9,Summer tires,0,1,0,Moderate,12.8,0,1,69.0,-4.0
71.0,10.8,Summer tires,0,1,0,Normal,13.9,0,1,79.0,-2.9
71.0,10.6,Summer tires,0,1,0,Normal,14.6,0,1,69.0,-2.2
18.0,13.28,Summer tires,0,1,0,Moderate,12.9,0,1,56.0,-3.9
97.0,2.23,Summer tires,0,0,1,Moderate,13.3,0,0,53.0,-3.5
72.0,14.71,Summer tires,0,1,0,Moderate,13.0,0,0,77.0,-3.8
100.0,10.79,Summer tires,0,1,0,Moderate,12.5,0,1,67.0,-4.3
71.0,10.51,Summer tires,0,1,0,Moderate,11.2,0,0,75.0,-5.6
72.0,9.86,Summer tires,0,1,0,Normal,13.2,0,0,57.0,-3.6
84.0,6.18,Summer tires,1,1,1,Normal,13.1,0,0,54.0,-3.7
89.0,14.02,Summer tires,1,1,0,Normal,13.6,0,0,57.0,-3.2
81.0,9.67,Summer tires,0,1,1,Fast,14.3,0,0,48.0,-2.5
20.0,7.63,Summer tires,0,1,0,Normal,15.9,0,0,52.0,-0.9
74.0,12.55,Summer tires,0,1,0,Moderate,14.4,0,0,57.0,-2.4
19.0,5.39,Summer tires,1,1,0,Moderate,11.0,0,0,46.0,-5.8
104.0,8.1,Summer tires,0,1,0,Moderate,11.8,0,0,61.0,-5.0
72.0,13.11,Summer tires,0,1,0,Normal,13.7,0,0,82.0,-3.1
105.0,10.97,Summer tires,0,1,0,Moderate,11.8,0,0,68.0,-5.0
71.0,11.39,Summer tires,0,1,0,Moderate,13.5,0,0,82.0,-3.3
101.0,11.35,Summer tires,0,1,0,Moderate,11.7,0,0,74.0,-5.1
71.0,12.98,Summer tires,0,1,0,Normal,14.4,0,0,80.0,-2.4
